Experiment No.,Spindle speed (rpm),Feed Rate (mm/min),Depth of cut (mm),Surface Roughness (æm),MRR(mm3/min)
1A,175,40,0.1,4.1331,247.986
2A,175,40,0.3,4.5021,270.126
3A,175,40,0.5,5.9296,355.776
4A,175,93,0.1,4.6265,277.59
5A,175,93,0.3,4.6471,278.826
6A,175,93,0.5,4.8521,291.126
7A,175,200,0.1,1.1196,487.176
8A,175,200,0.3,1.3529,501.174
9A,320,200,0.5,1.5613,513.678
10A,320,40,0.1,1.2019,72.114
11A,320,40,0.3,1.2513,75.078
12A,320,40,0.5,1.3469,80.814
13A,320,93,0.1,3.1319,187.914
14A,320,93,0.3,3.2915,197.49
15A,320,93,0.5,3.5613,213.678
16A,320,200,0.1,4.132,247.92
17A,320,200,0.3,4.651,279.06
18A,320,200,0.5,4.7112,282.672
19A,530,40,0.1,2.8204,169.224
20A,530,40,0.3,2.8913,173.478
21A,530,40,0.5,2.9256,175.536
22A,530,93,0.1,4.2019,252.114
23A,530,93,0.3,4.3112,258.672
24A,530,93,0.5,4.4545,267.27
25A,530,200,0.1,4.2916,257.496
26A,530,200,0.3,4.69,281.4
27A,530,200,0.5,4.781,286.86
